Key,Name,Period,Long,Lat
203,Atimoblatta curvipennis,Westphalian,-75.660004,41.400002
204,Hemimylacris ramificata,Westphalian C,-76.391998,40.595001
205,Homo sapiens,Pleistocene,-75.128891,40.312778
206,Oxynoblatta vicina,Stephanian,-76.372002,40.639999
207,Orthacanthus compressus,Permian,-79.999443,39.766666
208,Mammuthus primigenius,Pleistocene,-75.166664,39.950001
209,Diploceraspis burkei,Stephanian,-79.966667,40.444443
210,Diploceraspis,Sakmarian,-80.389725,39.864445
211,Hyla,Pleistocene,-78.644722,40.106388
212,Brachychirotherium,Rhaetian,-75.781937,40.313416
213,Barbclabornia luedersensis,Asselian,-80.274002,40.160999
214,Barbclabornia luedersensis,Gzhelian,-79.970001,40.439999
215,Barbclabornia luedersensis,Gzhelian,-80.019997,40.43
216,Homacanthus acinaciformis,Devonian,-79.150002,41.849998
217,Sauripterus taylori,Devonian,-77.100281,41.356667
218,Maeneceras,Late Famennian,-80.216667,41.933334
219,Cicadellidae,Tarantian,-79.639442,41.616112
220,Salterella conulata,Early Cambrian,-76.26667,40.083332
221,Salterella conulata,Early Cambrian,-76.25,40.083332
222,Salterella conulata,Early Cambrian,-77,39.966667
223,Salterella conulata,Early Cambrian,-76.716667,39.916668
224,Salterella conulata,Early Cambrian,-77.51667,39.75
225,Atimoblatta reducta,Atokan,-80.224998,41.235001
226,Phoberoblatta reticulata,Moscovian,-79.065002,41.16
227,Bellerophon clarki,Frasnian,-77,40.444443
228,Heslerodus divergens,Gzhelian,-79.709999,40.455002
229,Cyclopteris,Westphalian,-75.830002,41.349998
230,Bellerophon nactus,Frasnian,-77.061111,41.819443
231,Syscioblatta allegheniensis,Stephanian C,-79.904999,40.490002
232,Syscioblatta pennsylvanica,Stephanian C,-79.949997,40.431
233,Pseudosaratogia,Steptoean,-77.179443,40.761391
234,,Steptoean,-75.462502,41.377777
235,Buttsia,Cambrian,-78.677223,41.795277
236,Pseudotealliocaris palincsari,Tournaisian,-78.921112,41.215832
237,Bilobia virginiensis,Blackriveran,-77.815277,39.912498
238,Ensifera,Norian,-75.247398,40.344898
239,Dinosauria,Late Triassic,-76.86158,40.197353
240,Swataria derstleri,Edenian,-76.53611,40.46389
241,Cryptolithus recurvus,Caradoc,-77.913055,39.936943
242,Cryptolithus bellulus,Edenian,-77.998886,39.932499
243,Clepsydrops magnus,Missourian,-80.050003,40.540001
244,Oestocephalus amphiuminum,Westphalian D,-80.474998,40.796112
245,Diplocaulus salamandroides,Virgilian,-79.788071,40.406403
246,Lysorophus,Wolfcamp,-80.193886,40.165279
247,Fedexia striegeli,Virgilian,-80.147697,40.521099
248,Desmoinesia nana,Desmoinesian,-80.291664,40.708332
249,Chonetes mesoloba,Desmoinesian,-80.324997,40.783333
250,Caninia torquia,Desmoinesian,-80.341667,40.891666
251,Fusulinella,Desmoinesian,-80.333336,40.991669
252,Chonetinella verneuilana,Missourian,-78.591667,40.158333
253,Lophophyllidium profundum,Missourian,-79.300003,40.433334
254,Lophophyllidium profundum,Missourian,-79.75,40.383331
255,Lophophyllidium profundum,Missourian,-79.949997,40.516666
256,Levisoceras ellipticum,Tremadocian,-78.390831,40.335835
257,Dinosauria,Late Triassic,-76.784668,40.162384
258,Haptocrinus buttsi,Turinian,-78.164719,40.616943
259,Atreipus,Norian,-77.244652,39.784885
260,Apatorhynchus opistheretmus,Famennian,-77.131668,41.900555
261,Dipnoi,Famennian,-77.095154,41.34959
262,Soederberghia groenlandica,Famennian,-77.125893,41.51593
263,Dipnoi,Famennian,-77.675758,41.358631
264,Branchiosaurus darrahi,Late Pennsylvanian,-75.877777,41.833332
265,Temnocorpichnus isaacleai,Mississippian,-76.186943,40.673611
266,Thenaropus heterodactylus,Pennsylvanian,-79.285835,40.130287
